Year,Sex,Age Group,Race or Ethnicity,Selected Cause of Death,Deaths
2015,F,85+,Not Stated,Malignant Neoplasms,29
2015,F,85+,Not Stated,All Other Causes,99
2015,F,85+,Not Stated,Diseases of the Heart,107
2015,F,85+,Not Stated,Total,279
2015,F,85+,Other Non Hispanic,Diabetes Mellitus,5
2015,F,85+,Other Non Hispanic,Accidents,12
2015,F,85+,Other Non Hispanic,CLRD,29
2015,F,85+,Other Non Hispanic,Cerebrovascular Disease,41
2015,F,85+,Other Non Hispanic,Pneumonia,55
2015,F,85+,Other Non Hispanic,Malignant Neoplasms,101
2015,F,85+,Other Non Hispanic,All Other Causes,286
2015,F,85+,Other Non Hispanic,Diseases of the Heart,331
2015,F,85+,Other Non Hispanic,Total,860
2015,F,85+,White Non Hispanic,AIDS,1
2015,F,85+,White Non Hispanic,Diabetes Mellitus,111
2015,F,85+,White Non Hispanic,Accidents,600
2015,F,85+,White Non Hispanic,Pneumonia,"1,051"
2015,F,85+,White Non Hispanic,CLRD,"1,375"
2015,F,85+,White Non Hispanic,Cerebrovascular Disease,"1,620"
2015,F,85+,White Non Hispanic,Malignant Neoplasms,"3,109"
2015,F,85+,White Non Hispanic,All Other Causes,"10,410"
2015,F,85+,White Non Hispanic,Diseases of the Heart,"10,734"
2015,F,85+,White Non Hispanic,Total,"29,011"
2015,F,<1,Black Non Hispanic,CLRD,1
2015,F,<1,Black Non Hispanic,Accidents,3
2015,F,<1,Black Non Hispanic,Pneumonia,3
2015,F,<1,Black Non Hispanic,Diseases of the Heart,4
2015,F,<1,Black Non Hispanic,All Other Causes,136
2015,F,<1,Black Non Hispanic,Total,147
2015,F,<1,Hispanic,Accidents,1
2015,F,<1,Hispanic,Diseases of the Heart,1
2015,F,<1,Hispanic,Pneumonia,1
2015,F,<1,Hispanic,Cerebrovascular Disease,2
2015,F,<1,Hispanic,All Other Causes,93
2015,F,<1,Hispanic,Total,98
2015,F,<1,Not Stated,All Other Causes,21
2015,F,<1,Not Stated,Total,21
2015,F,<1,Other Non Hispanic,Accidents,1
2015,F,<1,Other Non Hispanic,All Other Causes,20
2015,F,<1,Other Non Hispanic,Total,21
2015,F,<1,White Non Hispanic,Malignant Neoplasms,1
2015,F,<1,White Non Hispanic,Pneumonia,1
2015,F,<1,White Non Hispanic,Accidents,8
2015,F,<1,White Non Hispanic,Diseases of the Heart,9
2015,F,<1,White Non Hispanic,All Other Causes,184
2015,F,<1,White Non Hispanic,Total,203
2015,M,9-Jan,Black Non Hispanic,Pneumonia,1
2015,M,9-Jan,Black Non Hispanic,Cerebrovascular Disease,2
2015,M,9-Jan,Black Non Hispanic,CLRD,4
2015,M,9-Jan,Black Non Hispanic,Malignant Neoplasms,4
2015,M,9-Jan,Black Non Hispanic,Accidents,5
2015,M,9-Jan,Black Non Hispanic,All Other Causes,25
2015,M,9-Jan,Black Non Hispanic,Total,41
2015,M,9-Jan,Hispanic,CLRD,1
2015,M,9-Jan,Hispanic,Diseases of the Heart,1
2015,M,9-Jan,Hispanic,Malignant Neoplasms,4
2015,M,9-Jan,Hispanic,Accidents,5
2015,M,9-Jan,Hispanic,All Other Causes,18
2015,M,9-Jan,Hispanic,Total,29
2015,M,9-Jan,Not Stated,Accidents,1
2015,M,9-Jan,Not Stated,Malignant Neoplasms,1
2015,M,9-Jan,Not Stated,All Other Causes,3
2015,M,9-Jan,Not Stated,Total,5
2015,M,9-Jan,Other Non Hispanic,Malignant Neoplasms,1
2015,M,9-Jan,Other Non Hispanic,All Other Causes,8
2015,M,9-Jan,Other Non Hispanic,Total,9
2015,M,9-Jan,White Non Hispanic,Cerebrovascular Disease,1
2015,M,9-Jan,White Non Hispanic,Diseases of the Heart,2
2015,M,9-Jan,White Non Hispanic,Malignant Neoplasms,11
2015,M,9-Jan,White Non Hispanic,Accidents,20
2015,M,9-Jan,White Non Hispanic,All Other Causes,29
2015,M,9-Jan,White Non Hispanic,Total,63
2015,M,19-Oct,Black Non Hispanic,CLRD,2
2015,M,19-Oct,Black Non Hispanic,Diseases of the Heart,2
2015,M,19-Oct,Black Non Hispanic,Malignant Neoplasms,10
2015,M,19-Oct,Black Non Hispanic,Accidents,15
2015,M,19-Oct,Black Non Hispanic,All Other Causes,69
2015,M,19-Oct,Black Non Hispanic,Total,98
2015,M,19-Oct,Hispanic,CLRD,2
2015,M,19-Oct,Hispanic,Cerebrovascular Disease,3
2015,M,19-Oct,Hispanic,Malignant Neoplasms,5
2015,M,19-Oct,Hispanic,Accidents,23
2015,M,19-Oct,Hispanic,All Other Causes,26
2015,M,19-Oct,Hispanic,Total,59
2015,M,19-Oct,Not Stated,CLRD,1
2015,M,19-Oct,Not Stated,Accidents,3
2015,M,19-Oct,Not Stated,All Other Causes,5
2015,M,19-Oct,Not Stated,Total,9
2015,M,19-Oct,Other Non Hispanic,Cerebrovascular Disease,1
2015,M,19-Oct,Other Non Hispanic,Malignant Neoplasms,4
2015,M,19-Oct,Other Non Hispanic,Accidents,6
2015,M,19-Oct,Other Non Hispanic,All Other Causes,10
2015,M,19-Oct,Other Non Hispanic,Total,21
2015,M,19-Oct,White Non Hispanic,Diseases of the Heart,7
2015,M,19-Oct,White Non Hispanic,Malignant Neoplasms,19
2015,M,19-Oct,White Non Hispanic,Accidents,62
2015,M,19-Oct,White Non Hispanic,All Other Causes,73
2015,M,19-Oct,White Non Hispanic,Total,161
2015,M,20-24,Black Non Hispanic,CLRD,1
2015,M,20-24,Black Non Hispanic,Cerebrovascular Disease,1
2015,M,20-24,Black Non Hispanic,AIDS,3
2015,M,20-24,Black Non Hispanic,Diseases of the Heart,4
2015,M,20-24,Black Non Hispanic,Malignant Neoplasms,7
2015,M,20-24,Black Non Hispanic,Accidents,32
2015,M,20-24,Black Non Hispanic,All Other Causes,109
2015,M,20-24,Black Non Hispanic,Total,157
2015,M,20-24,Hispanic,AIDS,2
2015,M,20-24,Hispanic,Pneumonia,4
2015,M,20-24,Hispanic,Diseases of the Heart,6
2015,M,20-24,Hispanic,Malignant Neoplasms,9
2015,M,20-24,Hispanic,Accidents,60
2015,M,20-24,Hispanic,All Other Causes,78
2015,M,20-24,Hispanic,Total,159
2015,M,20-24,Not Stated,Malignant Neoplasms,1
2015,M,20-24,Not Stated,Diseases of the Heart,2
2015,M,20-24,Not Stated,All Other Causes,3
2015,M,20-24,Not Stated,Accidents,7
2015,M,20-24,Not Stated,Total,13
2015,M,20-24,Other Non Hispanic,Diseases of the Heart,1
2015,M,20-24,Other Non Hispanic,Pneumonia,1
2015,M,20-24,Other Non Hispanic,Malignant Neoplasms,2
2015,M,20-24,Other Non Hispanic,Accidents,12
2015,M,20-24,Other Non Hispanic,All Other Causes,20
2015,M,20-24,Other Non Hispanic,Total,36
2015,M,20-24,White Non Hispanic,AIDS,1
2015,M,20-24,White Non Hispanic,Cerebrovascular Disease,1
2015,M,20-24,White Non Hispanic,CLRD,2
2015,M,20-24,White Non Hispanic,Diabetes Mellitus,2
2015,M,20-24,White Non Hispanic,Pneumonia,3
2015,M,20-24,White Non Hispanic,Diseases of the Heart,6
2015,M,20-24,White Non Hispanic,Malignant Neoplasms,18
2015,M,20-24,White Non Hispanic,All Other Causes,123
2015,M,20-24,White Non Hispanic,Accidents,209
2015,M,20-24,White Non Hispanic,Total,365
2015,M,25-34,Black Non Hispanic,Cerebrovascular Disease,3
2015,M,25-34,Black Non Hispanic,CLRD,6
2015,M,25-34,Black Non Hispanic,Pneumonia,6
2015,M,25-34,Black Non Hispanic,AIDS,15
2015,M,25-34,Black Non Hispanic,Malignant Neoplasms,17
2015,M,25-34,Black Non Hispanic,Diseases of the Heart,26
2015,M,25-34,Black Non Hispanic,Accidents,62
2015,M,25-34,Black Non Hispanic,All Other Causes,229
2015,M,25-34,Black Non Hispanic,Total,364
2015,M,25-34,Hispanic,CLRD,1
2015,M,25-34,Hispanic,Pneumonia,1
2015,M,25-34,Hispanic,Cerebrovascular Disease,3
2015,M,25-34,Hispanic,Diabetes Mellitus,3
2015,M,25-34,Hispanic,AIDS,5
2015,M,25-34,Hispanic,Malignant Neoplasms,21
2015,M,25-34,Hispanic,Diseases of the Heart,23
2015,M,25-34,Hispanic,All Other Causes,132
2015,M,25-34,Hispanic,Accidents,135
2015,M,25-34,Hispanic,Total,324
2015,M,25-34,Not Stated,Diseases of the Heart,1
2015,M,25-34,Not Stated,AIDS,2
2015,M,25-34,Not Stated,Malignant Neoplasms,3
2015,M,25-34,Not Stated,Accidents,9
2015,M,25-34,Not Stated,All Other Causes,12
2015,M,25-34,Not Stated,Total,27
2015,M,25-34,Other Non Hispanic,Cerebrovascular Disease,3
2015,M,25-34,Other Non Hispanic,Diseases of the Heart,5
2015,M,25-34,Other Non Hispanic,Malignant Neoplasms,10
2015,M,25-34,Other Non Hispanic,Accidents,20
2015,M,25-34,Other Non Hispanic,All Other Causes,30
2015,M,25-34,Other Non Hispanic,Total,68
2015,M,25-34,White Non Hispanic,AIDS,1
2015,M,25-34,White Non Hispanic,Diabetes Mellitus,1
2015,M,25-34,White Non Hispanic,Pneumonia,3
2015,M,25-34,White Non Hispanic,CLRD,4
2015,M,25-34,White Non Hispanic,Cerebrovascular Disease,6
2015,M,25-34,White Non Hispanic,Malignant Neoplasms,59
2015,M,25-34,White Non Hispanic,Diseases of the Heart,60
2015,M,25-34,White Non Hispanic,All Other Causes,326
2015,M,25-34,White Non Hispanic,Accidents,497
2015,M,25-34,White Non Hispanic,Total,957
2015,M,35-44,Black Non Hispanic,Diabetes Mellitus,2
2015,M,35-44,Black Non Hispanic,Pneumonia,8
2015,M,35-44,Black Non Hispanic,CLRD,9
2015,M,35-44,Black Non Hispanic,Cerebrovascular Disease,10
2015,M,35-44,Black Non Hispanic,AIDS,19
2015,M,35-44,Black Non Hispanic,Malignant Neoplasms,47
2015,M,35-44,Black Non Hispanic,Accidents,58
2015,M,35-44,Black Non Hispanic,Diseases of the Heart,101
2015,M,35-44,Black Non Hispanic,All Other Causes,180
2015,M,35-44,Black Non Hispanic,Total,434
2015,M,35-44,Hispanic,CLRD,2
2015,M,35-44,Hispanic,Diabetes Mellitus,2
2015,M,35-44,Hispanic,Pneumonia,2
2015,M,35-44,Hispanic,AIDS,8
2015,M,35-44,Hispanic,Cerebrovascular Disease,15
2015,M,35-44,Hispanic,Malignant Neoplasms,44
2015,M,35-44,Hispanic,Diseases of the Heart,64
2015,M,35-44,Hispanic,Accidents,138
2015,M,35-44,Hispanic,All Other Causes,159
2015,M,35-44,Hispanic,Total,434
2015,M,35-44,Not Stated,Cerebrovascular Disease,1
2015,M,35-44,Not Stated,AIDS,2
2015,M,35-44,Not Stated,Accidents,4
2015,M,35-44,Not Stated,Malignant Neoplasms,7
2015,M,35-44,Not Stated,Diseases of the Heart,8
2015,M,35-44,Not Stated,All Other Causes,14
2015,M,35-44,Not Stated,Total,36
2015,M,35-44,Other Non Hispanic,AIDS,1
2015,M,35-44,Other Non Hispanic,Diabetes Mellitus,1
2015,M,35-44,Other Non Hispanic,Pneumonia,1
2015,M,35-44,Other Non Hispanic,Cerebrovascular Disease,3
2015,M,35-44,Other Non Hispanic,Accidents,8
2015,M,35-44,Other Non Hispanic,Diseases of the Heart,14
2015,M,35-44,Other Non Hispanic,Malignant Neoplasms,22
2015,M,35-44,Other Non Hispanic,All Other Causes,32
2015,M,35-44,Other Non Hispanic,Total,82
2015,M,35-44,White Non Hispanic,AIDS,3
2015,M,35-44,White Non Hispanic,CLRD,4
2015,M,35-44,White Non Hispanic,Cerebrovascular Disease,11
2015,M,35-44,White Non Hispanic,Diabetes Mellitus,12
2015,M,35-44,White Non Hispanic,Pneumonia,15
2015,M,35-44,White Non Hispanic,Malignant Neoplasms,135
2015,M,35-44,White Non Hispanic,Diseases of the Heart,180
2015,M,35-44,White Non Hispanic,Accidents,372
2015,M,35-44,White Non Hispanic,All Other Causes,450
2015,M,35-44,White Non Hispanic,Total,"1,182"
2015,M,45-54,Black Non Hispanic,Diabetes Mellitus,4
2015,M,45-54,Black Non Hispanic,CLRD,19
2015,M,45-54,Black Non Hispanic,Pneumonia,30
2015,M,45-54,Black Non Hispanic,Cerebrovascular Disease,34
2015,M,45-54,Black Non Hispanic,AIDS,55
2015,M,45-54,Black Non Hispanic,Accidents,102
2015,M,45-54,Black Non Hispanic,Malignant Neoplasms,217
2015,M,45-54,Black Non Hispanic,Diseases of the Heart,333
2015,M,45-54,Black Non Hispanic,All Other Causes,348
2015,M,45-54,Black Non Hispanic,Total,"1,142"
2015,M,45-54,Hispanic,Diabetes Mellitus,8
2015,M,45-54,Hispanic,CLRD,14
2015,M,45-54,Hispanic,Pneumonia,17
2015,M,45-54,Hispanic,Cerebrovascular Disease,25
2015,M,45-54,Hispanic,AIDS,32
2015,M,45-54,Hispanic,Accidents,134
2015,M,45-54,Hispanic,Malignant Neoplasms,164
2015,M,45-54,Hispanic,Diseases of the Heart,170
2015,M,45-54,Hispanic,All Other Causes,284
2015,M,45-54,Hispanic,Total,848
2015,M,45-54,Not Stated,Cerebrovascular Disease,1
2015,M,45-54,Not Stated,Pneumonia,2
2015,M,45-54,Not Stated,AIDS,3
2015,M,45-54,Not Stated,Malignant Neoplasms,14
2015,M,45-54,Not Stated,Accidents,17
2015,M,45-54,Not Stated,Diseases of the Heart,21
2015,M,45-54,Not Stated,All Other Causes,35
2015,M,45-54,Not Stated,Total,93
2015,M,45-54,Other Non Hispanic,AIDS,2
2015,M,45-54,Other Non Hispanic,CLRD,2
2015,M,45-54,Other Non Hispanic,Pneumonia,4
2015,M,45-54,Other Non Hispanic,Cerebrovascular Disease,9
2015,M,45-54,Other Non Hispanic,Accidents,12
2015,M,45-54,Other Non Hispanic,Diseases of the Heart,62
2015,M,45-54,Other Non Hispanic,Malignant Neoplasms,64
2015,M,45-54,Other Non Hispanic,All Other Causes,65
2015,M,45-54,Other Non Hispanic,Total,220
2015,M,45-54,White Non Hispanic,AIDS,17
2015,M,45-54,White Non Hispanic,Diabetes Mellitus,19
2015,M,45-54,White Non Hispanic,Pneumonia,33
2015,M,45-54,White Non Hispanic,CLRD,49
2015,M,45-54,White Non Hispanic,Cerebrovascular Disease,61
2015,M,45-54,White Non Hispanic,Accidents,436
2015,M,45-54,White Non Hispanic,Diseases of the Heart,750
2015,M,45-54,White Non Hispanic,Malignant Neoplasms,750
2015,M,45-54,White Non Hispanic,All Other Causes,"1,099"
2015,M,45-54,White Non Hispanic,Total,"3,214"
2015,M,55-64,Black Non Hispanic,Diabetes Mellitus,20
2015,M,55-64,Black Non Hispanic,Pneumonia,44
2015,M,55-64,Black Non Hispanic,CLRD,45
2015,M,55-64,Black Non Hispanic,AIDS,74
2015,M,55-64,Black Non Hispanic,Cerebrovascular Disease,79
2015,M,55-64,Black Non Hispanic,Accidents,111
2015,M,55-64,Black Non Hispanic,All Other Causes,531
2015,M,55-64,Black Non Hispanic,Malignant Neoplasms,543
2015,M,55-64,Black Non Hispanic,Diseases of the Heart,591
2015,M,55-64,Black Non Hispanic,Total,"2,038"
2015,M,55-64,Hispanic,Diabetes Mellitus,6
2015,M,55-64,Hispanic,AIDS,25
2015,M,55-64,Hispanic,CLRD,28
2015,M,55-64,Hispanic,Pneumonia,35
2015,M,55-64,Hispanic,Cerebrovascular Disease,41
2015,M,55-64,Hispanic,Accidents,92
2015,M,55-64,Hispanic,Malignant Neoplasms,302
2015,M,55-64,Hispanic,Diseases of the Heart,306
2015,M,55-64,Hispanic,All Other Causes,369
2015,M,55-64,Hispanic,Total,"1,204"
2015,M,55-64,Not Stated,Diabetes Mellitus,1
2015,M,55-64,Not Stated,Pneumonia,3
2015,M,55-64,Not Stated,CLRD,4
2015,M,55-64,Not Stated,Cerebrovascular Disease,4
2015,M,55-64,Not Stated,AIDS,8
2015,M,55-64,Not Stated,Accidents,9
2015,M,55-64,Not Stated,Malignant Neoplasms,40
2015,M,55-64,Not Stated,All Other Causes,45
2015,M,55-64,Not Stated,Diseases of the Heart,56
2015,M,55-64,Not Stated,Total,170
2015,M,55-64,Other Non Hispanic,CLRD,5
2015,M,55-64,Other Non Hispanic,Diabetes Mellitus,5
2015,M,55-64,Other Non Hispanic,Pneumonia,5
2015,M,55-64,Other Non Hispanic,Accidents,19
2015,M,55-64,Other Non Hispanic,Cerebrovascular Disease,21
2015,M,55-64,Other Non Hispanic,All Other Causes,97
2015,M,55-64,Other Non Hispanic,Diseases of the Heart,111
2015,M,55-64,Other Non Hispanic,Malignant Neoplasms,183
2015,M,55-64,Other Non Hispanic,Total,446
2015,M,55-64,White Non Hispanic,AIDS,32
2015,M,55-64,White Non Hispanic,Diabetes Mellitus,40
2015,M,55-64,White Non Hispanic,Pneumonia,99
2015,M,55-64,White Non Hispanic,Cerebrovascular Disease,138
2015,M,55-64,White Non Hispanic,CLRD,266
2015,M,55-64,White Non Hispanic,Accidents,400
2015,M,55-64,White Non Hispanic,Diseases of the Heart,"1,859"
2015,M,55-64,White Non Hispanic,All Other Causes,"2,047"
2015,M,55-64,White Non Hispanic,Malignant Neoplasms,"2,250"
2015,M,55-64,White Non Hispanic,Total,"7,131"
2015,M,65-74,Black Non Hispanic,Diabetes Mellitus,16
2015,M,65-74,Black Non Hispanic,AIDS,37
2015,M,65-74,Black Non Hispanic,Accidents,37
2015,M,65-74,Black Non Hispanic,Pneumonia,59
2015,M,65-74,Black Non Hispanic,CLRD,65
2015,M,65-74,Black Non Hispanic,Cerebrovascular Disease,78
2015,M,65-74,Black Non Hispanic,All Other Causes,558
2015,M,65-74,Black Non Hispanic,Malignant Neoplasms,639
2015,M,65-74,Black Non Hispanic,Diseases of the Heart,708
2015,M,65-74,Black Non Hispanic,Total,"2,197"
2015,M,65-74,Hispanic,Diabetes Mellitus,6
2015,M,65-74,Hispanic,AIDS,16
2015,M,65-74,Hispanic,Pneumonia,41
2015,M,65-74,Hispanic,Accidents,45
2015,M,65-74,Hispanic,CLRD,48
2015,M,65-74,Hispanic,Cerebrovascular Disease,48
2015,M,65-74,Hispanic,All Other Causes,382
2015,M,65-74,Hispanic,Diseases of the Heart,408
2015,M,65-74,Hispanic,Malignant Neoplasms,441
2015,M,65-74,Hispanic,Total,"1,435"
2015,M,65-74,Not Stated,AIDS,1
2015,M,65-74,Not Stated,Diabetes Mellitus,2
2015,M,65-74,Not Stated,Pneumonia,5
2015,M,65-74,Not Stated,Accidents,8
2015,M,65-74,Not Stated,CLRD,13
2015,M,65-74,Not Stated,Cerebrovascular Disease,13
2015,M,65-74,Not Stated,All Other Causes,63
2015,M,65-74,Not Stated,Malignant Neoplasms,69
2015,M,65-74,Not Stated,Diseases of the Heart,75
2015,M,65-74,Not Stated,Total,249
2015,M,65-74,Other Non Hispanic,Diabetes Mellitus,5
2015,M,65-74,Other Non Hispanic,Pneumonia,15
2015,M,65-74,Other Non Hispanic,CLRD,16
2015,M,65-74,Other Non Hispanic,Accidents,21
2015,M,65-74,Other Non Hispanic,Cerebrovascular Disease,25
2015,M,65-74,Other Non Hispanic,All Other Causes,137
2015,M,65-74,Other Non Hispanic,Diseases of the Heart,146
2015,M,65-74,Other Non Hispanic,Malignant Neoplasms,198
2015,M,65-74,Other Non Hispanic,Total,563
2015,M,65-74,White Non Hispanic,AIDS,15
2015,M,65-74,White Non Hispanic,Diabetes Mellitus,73
2015,M,65-74,White Non Hispanic,Pneumonia,195
2015,M,65-74,White Non Hispanic,Accidents,260
2015,M,65-74,White Non Hispanic,Cerebrovascular Disease,338
2015,M,65-74,White Non Hispanic,CLRD,582
2015,M,65-74,White Non Hispanic,All Other Causes,"2,556"
2015,M,65-74,White Non Hispanic,Diseases of the Heart,"2,742"
2015,M,65-74,White Non Hispanic,Malignant Neoplasms,"3,381"
2015,M,65-74,White Non Hispanic,Total,"10,142"
2015,M,75-84,Black Non Hispanic,AIDS,8
2015,M,75-84,Black Non Hispanic,Diabetes Mellitus,19
2015,M,75-84,Black Non Hispanic,Accidents,25
2015,M,75-84,Black Non Hispanic,CLRD,73
2015,M,75-84,Black Non Hispanic,Pneumonia,76
2015,M,75-84,Black Non Hispanic,Cerebrovascular Disease,90
2015,M,75-84,Black Non Hispanic,Malignant Neoplasms,487
2015,M,75-84,Black Non Hispanic,All Other Causes,547
2015,M,75-84,Black Non Hispanic,Diseases of the Heart,662
2015,M,75-84,Black Non Hispanic,Total,"1,987"
2015,M,75-84,Hispanic,AIDS,5
2015,M,75-84,Hispanic,Diabetes Mellitus,8
2015,M,75-84,Hispanic,Accidents,22
2015,M,75-84,Hispanic,CLRD,63
2015,M,75-84,Hispanic,Pneumonia,69
2015,M,75-84,Hispanic,Cerebrovascular Disease,76
2015,M,75-84,Hispanic,Malignant Neoplasms,365
2015,M,75-84,Hispanic,All Other Causes,409
2015,M,75-84,Hispanic,Diseases of the Heart,498
2015,M,75-84,Hispanic,Total,"1,515"
2015,M,75-84,Not Stated,AIDS,2
2015,M,75-84,Not Stated,Diabetes Mellitus,2
2015,M,75-84,Not Stated,Accidents,4
2015,M,75-84,Not Stated,Cerebrovascular Disease,11
2015,M,75-84,Not Stated,Pneumonia,12
2015,M,75-84,Not Stated,CLRD,17
2015,M,75-84,Not Stated,Malignant Neoplasms,43
2015,M,75-84,Not Stated,All Other Causes,52
2015,M,75-84,Not Stated,Diseases of the Heart,76
2015,M,75-84,Not Stated,Total,219
2015,M,75-84,Other Non Hispanic,Diabetes Mellitus,5
2015,M,75-84,Other Non Hispanic,Accidents,14
2015,M,75-84,Other Non Hispanic,CLRD,39
2015,M,75-84,Other Non Hispanic,Cerebrovascular Disease,39
2015,M,75-84,Other Non Hispanic,Pneumonia,48
2015,M,75-84,Other Non Hispanic,Malignant Neoplasms,199
2015,M,75-84,Other Non Hispanic,All Other Causes,206
2015,M,75-84,Other Non Hispanic,Diseases of the Heart,218
2015,M,75-84,Other Non Hispanic,Total,768
2015,M,75-84,White Non Hispanic,AIDS,4
2015,M,75-84,White Non Hispanic,Diabetes Mellitus,73
2015,M,75-84,White Non Hispanic,Accidents,317
2015,M,75-84,White Non Hispanic,Pneumonia,419
2015,M,75-84,White Non Hispanic,Cerebrovascular Disease,560
2015,M,75-84,White Non Hispanic,CLRD,833
2015,M,75-84,White Non Hispanic,Malignant Neoplasms,"3,549"
2015,M,75-84,White Non Hispanic,All Other Causes,"3,876"
2015,M,75-84,White Non Hispanic,Diseases of the Heart,"4,134"
2015,M,75-84,White Non Hispanic,Total,"13,765"
2015,M,85+,Black Non Hispanic,AIDS,2
2015,M,85+,Black Non Hispanic,Diabetes Mellitus,7
2015,M,85+,Black Non Hispanic,Accidents,19
2015,M,85+,Black Non Hispanic,Cerebrovascular Disease,39
2015,M,85+,Black Non Hispanic,CLRD,46
2015,M,85+,Black Non Hispanic,Pneumonia,66
2015,M,85+,Black Non Hispanic,Malignant Neoplasms,236
2015,M,85+,Black Non Hispanic,All Other Causes,456
2015,M,85+,Black Non Hispanic,Diseases of the Heart,469
2015,M,85+,Black Non Hispanic,Total,"1,340"
2015,M,85+,Hispanic,Diabetes Mellitus,3
2015,M,85+,Hispanic,Accidents,22
2015,M,85+,Hispanic,CLRD,48
2015,M,85+,Hispanic,Cerebrovascular Disease,48
2015,M,85+,Hispanic,Pneumonia,60
2015,M,85+,Hispanic,Malignant Neoplasms,201
2015,M,85+,Hispanic,All Other Causes,382
2015,M,85+,Hispanic,Diseases of the Heart,394
2015,M,85+,Hispanic,Total,"1,158"
2015,M,85+,Not Stated,Accidents,2
2015,M,85+,Not Stated,Diabetes Mellitus,3
2015,M,85+,Not Stated,Cerebrovascular Disease,9
2015,M,85+,Not Stated,Pneumonia,9
2015,M,85+,Not Stated,CLRD,10
2015,M,85+,Not Stated,Malignant Neoplasms,23
2015,M,85+,Not Stated,All Other Causes,53
2015,M,85+,Not Stated,Diseases of the Heart,61
2015,M,85+,Not Stated,Total,170
2015,M,85+,Other Non Hispanic,Diabetes Mellitus,5
2015,M,85+,Other Non Hispanic,Accidents,15
2015,M,85+,Other Non Hispanic,Cerebrovascular Disease,25
2015,M,85+,Other Non Hispanic,CLRD,28
2015,M,85+,Other Non Hispanic,Pneumonia,42
2015,M,85+,Other Non Hispanic,Malignant Neoplasms,96
2015,M,85+,Other Non Hispanic,All Other Causes,187
2015,M,85+,Other Non Hispanic,Diseases of the Heart,210
2015,M,85+,Other Non Hispanic,Total,608
2015,M,85+,White Non Hispanic,Diabetes Mellitus,93
2015,M,85+,White Non Hispanic,Accidents,384
2015,M,85+,White Non Hispanic,Pneumonia,700
2015,M,85+,White Non Hispanic,CLRD,738
2015,M,85+,White Non Hispanic,Cerebrovascular Disease,766
2015,M,85+,White Non Hispanic,Malignant Neoplasms,"2,536"
2015,M,85+,White Non Hispanic,All Other Causes,"5,606"
2015,M,85+,White Non Hispanic,Diseases of the Heart,"6,362"
2015,M,85+,White Non Hispanic,Total,"17,185"
2015,M,<1,Black Non Hispanic,Malignant Neoplasms,1
2015,M,<1,Black Non Hispanic,Pneumonia,1
2015,M,<1,Black Non Hispanic,Accidents,3
2015,M,<1,Black Non Hispanic,Diseases of the Heart,3
2015,M,<1,Black Non Hispanic,All Other Causes,164
2015,M,<1,Black Non Hispanic,Total,172
2015,M,<1,Hispanic,CLRD,1
2015,M,<1,Hispanic,Cerebrovascular Disease,1
2015,M,<1,Hispanic,Pneumonia,1
2015,M,<1,Hispanic,Diseases of the Heart,2
2015,M,<1,Hispanic,Accidents,3
2015,M,<1,Hispanic,All Other Causes,105
2015,M,<1,Hispanic,Total,113
2015,M,<1,Not Stated,Accidents,1
2015,M,<1,Not Stated,Diseases of the Heart,1
2015,M,<1,Not Stated,All Other Causes,49
2015,M,<1,Not Stated,Total,51
2015,M,<1,Other Non Hispanic,Accidents,1
2015,M,<1,Other Non Hispanic,Cerebrovascular Disease,1
2015,M,<1,Other Non Hispanic,All Other Causes,30
2015,M,<1,Other Non Hispanic,Total,32
2015,M,<1,White Non Hispanic,Malignant Neoplasms,1
2015,M,<1,White Non Hispanic,Pneumonia,4
2015,M,<1,White Non Hispanic,Diseases of the Heart,6
2015,M,<1,White Non Hispanic,Accidents,11
2014,M,45-54,Hispanic,AIDS,137
2014,M,45-54,Hispanic,CLRD,101
2014,M,45-54,Hispanic,Pneumonia,88
2014,M,45-54,Hispanic,Diabetes Mellitus,42
2014,M,45-54,Black Non Hispanic,Total,3
2014,M,45-54,Black Non Hispanic,Diseases of the Heart,1
2014,M,45-54,Black Non Hispanic,All Other Causes,1
2014,M,45-54,Black Non Hispanic,Accidents,1
2014,M,35-44,White Non Hispanic,Total,5
2014,M,35-44,White Non Hispanic,Accidents,3
2014,M,35-44,White Non Hispanic,Diabetes Mellitus,1
2014,M,35-44,White Non Hispanic,All Other Causes,1
2014,M,35-44,Not Stated,Total,3
2014,M,35-44,Not Stated,All Other Causes,2
2014,M,35-44,Not Stated,Accidents,1
2014,M,35-44,Hispanic,Total,"2,017"
2014,M,35-44,Hispanic,All Other Causes,810
2014,M,35-44,Hispanic,Accidents,450
2014,M,35-44,Hispanic,Diseases of the Heart,340
2014,M,35-44,Hispanic,Malignant Neoplasms,269
2014,M,35-44,Hispanic,Cerebrovascular Disease,53
2014,M,35-44,Hispanic,AIDS,41
2014,M,35-44,Hispanic,Pneumonia,25
2014,M,35-44,Hispanic,CLRD,18
2014,M,35-44,Hispanic,Diabetes Mellitus,11
2014,M,35-44,Black Non Hispanic,Total,1
2014,M,35-44,Black Non Hispanic,All Other Causes,1
2014,M,25-34,White Non Hispanic,Total,4
2014,M,25-34,White Non Hispanic,All Other Causes,2
2014,M,25-34,White Non Hispanic,Accidents,2
2014,M,25-34,Not Stated,Total,4
2014,M,25-34,Not Stated,Accidents,3
2014,M,25-34,Not Stated,All Other Causes,1
2014,M,25-34,Hispanic,Total,"1,476"
